Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,320,320,3,3,3,16,2,
B1_dw,160,160,3,3,16,1,1,
B1_pw,160,160,1,1,16,16,1,
B2_exp,160,160,1,1,16,64,1,
B2_dw,160,160,3,3,64,1,2,
B2_pw,80,80,1,1,64,24,1,
B3_exp,80,80,1,1,24,72,1,
B3_dw,80,80,3,3,72,1,1,
B3_pw,80,80,1,1,72,24,1,
B4_exp,80,80,1,1,24,72,1,
B4_dw,80,80,5,5,72,1,2,
B4_pw,40,40,1,1,72,40,1,
B5_exp,40,40,1,1,40,120,1,
B5_dw,40,40,5,5,120,1,1,
B5_pw,40,40,1,1,120,40,1,
B6_exp,40,40,1,1,40,120,1,
B6_dw,40,40,5,5,120,1,1,
B6_pw,40,40,1,1,120,40,1,
B7_exp,40,40,1,1,40,240,1,
B7_dw,40,40,3,3,240,1,2,
B7_pw,20,20,1,1,240,80,1,
B8_exp,20,20,1,1,80,200,1,
B8_dw,20,20,3,3,200,1,1,
B8_pw,20,20,1,1,200,80,1,
B9_exp,20,20,1,1,80,184,1,
B9_dw,20,20,3,3,184,1,1,
B9_pw,20,20,1,1,184,80,1,
B10_exp,20,20,1,1,80,184,1,
B10_dw,20,20,3,3,184,1,1,
B10_pw,20,20,1,1,184,80,1,
B11_exp,20,20,1,1,80,480,1,
B11_dw,20,20,3,3,480,1,1,
B11_pw,20,20,1,1,480,112,1,
B12_exp,20,20,1,1,112,672,1,
B12_dw,20,20,3,3,672,1,1,
B12_pw,20,20,1,1,672,112,1,
B13_exp,20,20,1,1,112,672,1,
B13_dw,20,20,5,5,672,1,2,
B13_pw,10,10,1,1,672,160,1,
B14_exp,10,10,1,1,160,960,1,
B14_dw,10,10,5,5,960,1,1,
B14_pw,10,10,1,1,960,160,1,
B15_exp,10,10,1,1,160,960,1,
B15_dw,10,10,5,5,960,1,1,
B15_pw,10,10,1,1,960,160,1,
Last_conv,10,10,1,1,160,960,1,
FPN_P5_lat,10,10,1,1,960,256,1,
FPN_P4_lat,20,20,1,1,112,256,1,
FPN_P3_lat,40,40,1,1,40,256,1,
FPN_P5_out,10,10,3,3,256,256,1,
FPN_P4_out,20,20,3,3,256,256,1,
FPN_P3_out,40,40,3,3,256,256,1,
RPN_P3_conv,40,40,3,3,256,256,1,
RPN_P3_cls,40,40,1,1,256,3,1,
RPN_P3_bbox,40,40,1,1,256,12,1,
RPN_P4_conv,20,20,3,3,256,256,1,
RPN_P4_cls,20,20,1,1,256,3,1,
RPN_P4_bbox,20,20,1,1,256,12,1,
RPN_P5_conv,10,10,3,3,256,256,1,
RPN_P5_cls,10,10,1,1,256,3,1,
RPN_P5_bbox,10,10,1,1,256,12,1,
