Layer,M,N,K,
L00_QKV,50,3072,1024,
L00_QKT,50,50,128,
L00_QKTV,50,128,50,
L00_OutProj,50,1024,1024,
L00_FFN1,50,2048,1024,
L00_FFN2,50,1024,2048,
L01_QKV,50,3072,1024,
L01_QKT,50,50,128,
L01_QKTV,50,128,50,
L01_OutProj,50,1024,1024,
L01_FFN1,50,2048,1024,
L01_FFN2,50,1024,2048,
L02_QKV,50,3072,1024,
L02_QKT,50,50,128,
L02_QKTV,50,128,50,
L02_OutProj,50,1024,1024,
L02_FFN1,50,2048,1024,
L02_FFN2,50,1024,2048,
L03_QKV,50,3072,1024,
L03_QKT,50,50,128,
L03_QKTV,50,128,50,
L03_OutProj,50,1024,1024,
L03_FFN1,50,2048,1024,
L03_FFN2,50,1024,2048,
L04_QKV,50,3072,1024,
L04_QKT,50,50,128,
L04_QKTV,50,128,50,
L04_OutProj,50,1024,1024,
L04_FFN1,50,2048,1024,
L04_FFN2,50,1024,2048,
L05_QKV,50,3072,1024,
L05_QKT,50,50,128,
L05_QKTV,50,128,50,
L05_OutProj,50,1024,1024,
L05_FFN1,50,2048,1024,
L05_FFN2,50,1024,2048,
L06_QKV,50,3072,1024,
L06_QKT,50,50,128,
L06_QKTV,50,128,50,
L06_OutProj,50,1024,1024,
L06_FFN1,50,2048,1024,
L06_FFN2,50,1024,2048,
L07_QKV,50,3072,1024,
L07_QKT,50,50,128,
L07_QKTV,50,128,50,
L07_OutProj,50,1024,1024,
L07_FFN1,50,2048,1024,
L07_FFN2,50,1024,2048,
L08_QKV,50,3072,1024,
L08_QKT,50,50,128,
L08_QKTV,50,128,50,
L08_OutProj,50,1024,1024,
L08_FFN1,50,2048,1024,
L08_FFN2,50,1024,2048,
L09_QKV,50,3072,1024,
L09_QKT,50,50,128,
L09_QKTV,50,128,50,
L09_OutProj,50,1024,1024,
L09_FFN1,50,2048,1024,
L09_FFN2,50,1024,2048,
L10_QKV,50,3072,1024,
L10_QKT,50,50,128,
L10_QKTV,50,128,50,
L10_OutProj,50,1024,1024,
L10_FFN1,50,2048,1024,
L10_FFN2,50,1024,2048,
L11_QKV,50,3072,1024,
L11_QKT,50,50,128,
L11_QKTV,50,128,50,
L11_OutProj,50,1024,1024,
L11_FFN1,50,2048,1024,
L11_FFN2,50,1024,2048,
L12_QKV,50,3072,1024,
L12_QKT,50,50,128,
L12_QKTV,50,128,50,
L12_OutProj,50,1024,1024,
L12_FFN1,50,2048,1024,
L12_FFN2,50,1024,2048,
L13_QKV,50,3072,1024,
L13_QKT,50,50,128,
L13_QKTV,50,128,50,
L13_OutProj,50,1024,1024,
L13_FFN1,50,2048,1024,
L13_FFN2,50,1024,2048,
L14_QKV,50,3072,1024,
L14_QKT,50,50,128,
L14_QKTV,50,128,50,
L14_OutProj,50,1024,1024,
L14_FFN1,50,2048,1024,
L14_FFN2,50,1024,2048,
L15_QKV,50,3072,1024,
L15_QKT,50,50,128,
L15_QKTV,50,128,50,
L15_OutProj,50,1024,1024,
L15_FFN1,50,2048,1024,
L15_FFN2,50,1024,2048,
L16_QKV,50,3072,1024,
L16_QKT,50,50,128,
L16_QKTV,50,128,50,
L16_OutProj,50,1024,1024,
L16_FFN1,50,2048,1024,
L16_FFN2,50,1024,2048,
L17_QKV,50,3072,1024,
L17_QKT,50,50,128,
L17_QKTV,50,128,50,
L17_OutProj,50,1024,1024,
L17_FFN1,50,2048,1024,
L17_FFN2,50,1024,2048,
L18_QKV,50,3072,1024,
L18_QKT,50,50,128,
L18_QKTV,50,128,50,
L18_OutProj,50,1024,1024,
L18_FFN1,50,2048,1024,
L18_FFN2,50,1024,2048,
L19_QKV,50,3072,1024,
L19_QKT,50,50,128,
L19_QKTV,50,128,50,
L19_OutProj,50,1024,1024,
L19_FFN1,50,2048,1024,
L19_FFN2,50,1024,2048,
