Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,224,224,7,7,3,64,2,
L2_1a,56,56,3,3,64,64,1,
L2_1b,56,56,3,3,64,64,1,
L2_2a,56,56,3,3,64,64,1,
L2_2b,56,56,3,3,64,64,1,
L3_1a,56,56,3,3,64,128,2,
L3_1b,28,28,3,3,128,128,1,
L3_1s,56,56,1,1,64,128,2,
L3_2a,28,28,3,3,128,128,1,
L3_2b,28,28,3,3,128,128,1,
L4_1a,28,28,3,3,128,256,2,
L4_1b,14,14,3,3,256,256,1,
L4_1s,28,28,1,1,128,256,2,
L4_2a,14,14,3,3,256,256,1,
L4_2b,14,14,3,3,256,256,1,
L5_1a,14,14,3,3,256,512,2,
L5_1b,7,7,3,3,512,512,1,
L5_1s,14,14,1,1,256,512,2,
L5_2a,7,7,3,3,512,512,1,
L5_2b,7,7,3,3,512,512,1,
FC,1,1,1,1,512,2,1,
