Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,40,101,3,3,1,45,1,
RB1_1,40,101,3,3,45,45,1,
RB1_2,40,101,3,3,45,45,1,
RB2_1,40,101,3,3,45,45,1,
RB2_2,40,101,3,3,45,45,1,
RB3_1,40,101,3,3,45,45,1,
RB3_2,40,101,3,3,45,45,1,
RB4_1,40,101,3,3,45,45,1,
RB4_2,40,101,3,3,45,45,1,
RB5_1,40,101,3,3,45,45,1,
RB5_2,40,101,3,3,45,45,1,
RB6_1,40,101,3,3,45,45,1,
RB6_2,40,101,3,3,45,45,1,
RB7_1,40,101,3,3,45,45,1,
RB7_2,40,101,3,3,45,45,1,
FC,1,1,1,1,45,35,1,
