Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,384,384,7,7,3,64,2,
CB2a_1,96,96,1,1,64,64,1,
CB2a_2,96,96,3,3,64,64,1,
CB2a_3,96,96,1,1,64,256,1,
CB2s,96,96,1,1,64,256,1,
IB2b_1,96,96,1,1,256,64,1,
IB2b_2,96,96,3,3,64,64,1,
IB2b_3,96,96,1,1,64,256,1,
IB2c_1,96,96,1,1,256,64,1,
IB2c_2,96,96,3,3,64,64,1,
IB2c_3,96,96,1,1,64,256,1,
CB3a_1,96,96,1,1,256,128,2,
CB3a_2,48,48,3,3,128,128,1,
CB3a_3,48,48,1,1,128,512,1,
CB3s,96,96,1,1,256,512,2,
IB3b_1,48,48,1,1,512,128,1,
IB3b_2,48,48,3,3,128,128,1,
IB3b_3,48,48,1,1,128,512,1,
IB3c_1,48,48,1,1,512,128,1,
IB3c_2,48,48,3,3,128,128,1,
IB3c_3,48,48,1,1,128,512,1,
IB3d_1,48,48,1,1,512,128,1,
IB3d_2,48,48,3,3,128,128,1,
IB3d_3,48,48,1,1,128,512,1,
CB4a_1,48,48,1,1,512,256,2,
CB4a_2,24,24,3,3,256,256,1,
CB4a_3,24,24,1,1,256,1024,1,
CB4s,48,48,1,1,512,1024,2,
IB4b_1,24,24,1,1,1024,256,1,
IB4b_2,24,24,3,3,256,256,1,
IB4b_3,24,24,1,1,256,1024,1,
IB4c_1,24,24,1,1,1024,256,1,
IB4c_2,24,24,3,3,256,256,1,
IB4c_3,24,24,1,1,256,1024,1,
IB4d_1,24,24,1,1,1024,256,1,
IB4d_2,24,24,3,3,256,256,1,
IB4d_3,24,24,1,1,256,1024,1,
IB4e_1,24,24,1,1,1024,256,1,
IB4e_2,24,24,3,3,256,256,1,
IB4e_3,24,24,1,1,256,1024,1,
IB4f_1,24,24,1,1,1024,256,1,
IB4f_2,24,24,3,3,256,256,1,
IB4f_3,24,24,1,1,256,1024,1,
CB5a_1,24,24,1,1,1024,512,2,
CB5a_2,12,12,3,3,512,512,1,
CB5a_3,12,12,1,1,512,2048,1,
CB5s,24,24,1,1,1024,2048,2,
IB5b_1,12,12,1,1,2048,512,1,
IB5b_2,12,12,3,3,512,512,1,
IB5b_3,12,12,1,1,512,2048,1,
IB5c_1,12,12,1,1,2048,512,1,
IB5c_2,12,12,3,3,512,512,1,
IB5c_3,12,12,1,1,512,2048,1,
DEC_lat5,12,12,1,1,2048,256,1,
DEC_lat4,24,24,1,1,1024,256,1,
DEC_lat3,48,48,1,1,512,256,1,
DEC_lat2,96,96,1,1,256,256,1,
DEC_ref5,12,12,3,3,256,256,1,
DEC_ref4,24,24,3,3,256,256,1,
DEC_ref3,48,48,3,3,256,256,1,
DEC_ref2,96,96,3,3,256,256,1,
DEC_up4,24,24,3,3,256,256,1,
DEC_up3,48,48,3,3,256,256,1,
DEC_up2,96,96,3,3,256,256,1,
DEC_up1,192,192,3,3,256,256,1,
DEC_out,384,384,3,3,256,1,1,
