Layer,M,N,K,
L00_QKV,128,960,576,
L00_QKT,128,128,64,
L00_QKTV,128,64,128,
L00_OutProj,128,576,576,
L00_FFN1,128,1536,576,
L00_FFN2,128,576,1536,
L01_QKV,128,960,576,
L01_QKT,128,128,64,
L01_QKTV,128,64,128,
L01_OutProj,128,576,576,
L01_FFN1,128,1536,576,
L01_FFN2,128,576,1536,
L02_QKV,128,960,576,
L02_QKT,128,128,64,
L02_QKTV,128,64,128,
L02_OutProj,128,576,576,
L02_FFN1,128,1536,576,
L02_FFN2,128,576,1536,
L03_QKV,128,960,576,
L03_QKT,128,128,64,
L03_QKTV,128,64,128,
L03_OutProj,128,576,576,
L03_FFN1,128,1536,576,
L03_FFN2,128,576,1536,
L04_QKV,128,960,576,
L04_QKT,128,128,64,
L04_QKTV,128,64,128,
L04_OutProj,128,576,576,
L04_FFN1,128,1536,576,
L04_FFN2,128,576,1536,
L05_QKV,128,960,576,
L05_QKT,128,128,64,
L05_QKTV,128,64,128,
L05_OutProj,128,576,576,
L05_FFN1,128,1536,576,
L05_FFN2,128,576,1536,
L06_QKV,128,960,576,
L06_QKT,128,128,64,
L06_QKTV,128,64,128,
L06_OutProj,128,576,576,
L06_FFN1,128,1536,576,
L06_FFN2,128,576,1536,
L07_QKV,128,960,576,
L07_QKT,128,128,64,
L07_QKTV,128,64,128,
L07_OutProj,128,576,576,
L07_FFN1,128,1536,576,
L07_FFN2,128,576,1536,
L08_QKV,128,960,576,
L08_QKT,128,128,64,
L08_QKTV,128,64,128,
L08_OutProj,128,576,576,
L08_FFN1,128,1536,576,
L08_FFN2,128,576,1536,
L09_QKV,128,960,576,
L09_QKT,128,128,64,
L09_QKTV,128,64,128,
L09_OutProj,128,576,576,
L09_FFN1,128,1536,576,
L09_FFN2,128,576,1536,
L10_QKV,128,960,576,
L10_QKT,128,128,64,
L10_QKTV,128,64,128,
L10_OutProj,128,576,576,
L10_FFN1,128,1536,576,
L10_FFN2,128,576,1536,
L11_QKV,128,960,576,
L11_QKT,128,128,64,
L11_QKTV,128,64,128,
L11_OutProj,128,576,576,
L11_FFN1,128,1536,576,
L11_FFN2,128,576,1536,
L12_QKV,128,960,576,
L12_QKT,128,128,64,
L12_QKTV,128,64,128,
L12_OutProj,128,576,576,
L12_FFN1,128,1536,576,
L12_FFN2,128,576,1536,
L13_QKV,128,960,576,
L13_QKT,128,128,64,
L13_QKTV,128,64,128,
L13_OutProj,128,576,576,
L13_FFN1,128,1536,576,
L13_FFN2,128,576,1536,
L14_QKV,128,960,576,
L14_QKT,128,128,64,
L14_QKTV,128,64,128,
L14_OutProj,128,576,576,
L14_FFN1,128,1536,576,
L14_FFN2,128,576,1536,
L15_QKV,128,960,576,
L15_QKT,128,128,64,
L15_QKTV,128,64,128,
L15_OutProj,128,576,576,
L15_FFN1,128,1536,576,
L15_FFN2,128,576,1536,
L16_QKV,128,960,576,
L16_QKT,128,128,64,
L16_QKTV,128,64,128,
L16_OutProj,128,576,576,
L16_FFN1,128,1536,576,
L16_FFN2,128,576,1536,
L17_QKV,128,960,576,
L17_QKT,128,128,64,
L17_QKTV,128,64,128,
L17_OutProj,128,576,576,
L17_FFN1,128,1536,576,
L17_FFN2,128,576,1536,
L18_QKV,128,960,576,
L18_QKT,128,128,64,
L18_QKTV,128,64,128,
L18_OutProj,128,576,576,
L18_FFN1,128,1536,576,
L18_FFN2,128,576,1536,
L19_QKV,128,960,576,
L19_QKT,128,128,64,
L19_QKTV,128,64,128,
L19_OutProj,128,576,576,
L19_FFN1,128,1536,576,
L19_FFN2,128,576,1536,
L20_QKV,128,960,576,
L20_QKT,128,128,64,
L20_QKTV,128,64,128,
L20_OutProj,128,576,576,
L20_FFN1,128,1536,576,
L20_FFN2,128,576,1536,
L21_QKV,128,960,576,
L21_QKT,128,128,64,
L21_QKTV,128,64,128,
L21_OutProj,128,576,576,
L21_FFN1,128,1536,576,
L21_FFN2,128,576,1536,
L22_QKV,128,960,576,
L22_QKT,128,128,64,
L22_QKTV,128,64,128,
L22_OutProj,128,576,576,
L22_FFN1,128,1536,576,
L22_FFN2,128,576,1536,
L23_QKV,128,960,576,
L23_QKT,128,128,64,
L23_QKTV,128,64,128,
L23_OutProj,128,576,576,
L23_FFN1,128,1536,576,
L23_FFN2,128,576,1536,
L24_QKV,128,960,576,
L24_QKT,128,128,64,
L24_QKTV,128,64,128,
L24_OutProj,128,576,576,
L24_FFN1,128,1536,576,
L24_FFN2,128,576,1536,
L25_QKV,128,960,576,
L25_QKT,128,128,64,
L25_QKTV,128,64,128,
L25_OutProj,128,576,576,
L25_FFN1,128,1536,576,
L25_FFN2,128,576,1536,
L26_QKV,128,960,576,
L26_QKT,128,128,64,
L26_QKTV,128,64,128,
L26_OutProj,128,576,576,
L26_FFN1,128,1536,576,
L26_FFN2,128,576,1536,
L27_QKV,128,960,576,
L27_QKT,128,128,64,
L27_QKTV,128,64,128,
L27_OutProj,128,576,576,
L27_FFN1,128,1536,576,
L27_FFN2,128,576,1536,
L28_QKV,128,960,576,
L28_QKT,128,128,64,
L28_QKTV,128,64,128,
L28_OutProj,128,576,576,
L28_FFN1,128,1536,576,
L28_FFN2,128,576,1536,
L29_QKV,128,960,576,
L29_QKT,128,128,64,
L29_QKTV,128,64,128,
L29_OutProj,128,576,576,
L29_FFN1,128,1536,576,
L29_FFN2,128,576,1536,
