Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,480,640,7,7,3,64,2,
CB2a_1,120,160,1,1,64,64,1,
CB2a_2,120,160,3,3,64,64,1,
CB2a_3,120,160,1,1,64,256,1,
CB2s,120,160,1,1,64,256,1,
IB2b_1,120,160,1,1,256,64,1,
IB2b_2,120,160,3,3,64,64,1,
IB2b_3,120,160,1,1,64,256,1,
IB2c_1,120,160,1,1,256,64,1,
IB2c_2,120,160,3,3,64,64,1,
IB2c_3,120,160,1,1,64,256,1,
CB3a_1,120,160,1,1,256,128,2,
CB3a_2,60,80,3,3,128,128,1,
CB3a_3,60,80,1,1,128,512,1,
CB3s,120,160,1,1,256,512,2,
IB3b_1,60,80,1,1,512,128,1,
IB3b_2,60,80,3,3,128,128,1,
IB3b_3,60,80,1,1,128,512,1,
IB3c_1,60,80,1,1,512,128,1,
IB3c_2,60,80,3,3,128,128,1,
IB3c_3,60,80,1,1,128,512,1,
IB3d_1,60,80,1,1,512,128,1,
IB3d_2,60,80,3,3,128,128,1,
IB3d_3,60,80,1,1,128,512,1,
CB4a_1,60,80,1,1,512,256,2,
CB4a_2,30,40,3,3,256,256,1,
CB4a_3,30,40,1,1,256,1024,1,
CB4s,60,80,1,1,512,1024,2,
IB4b_1,30,40,1,1,1024,256,1,
IB4b_2,30,40,3,3,256,256,1,
IB4b_3,30,40,1,1,256,1024,1,
IB4c_1,30,40,1,1,1024,256,1,
IB4c_2,30,40,3,3,256,256,1,
IB4c_3,30,40,1,1,256,1024,1,
IB4d_1,30,40,1,1,1024,256,1,
IB4d_2,30,40,3,3,256,256,1,
IB4d_3,30,40,1,1,256,1024,1,
IB4e_1,30,40,1,1,1024,256,1,
IB4e_2,30,40,3,3,256,256,1,
IB4e_3,30,40,1,1,256,1024,1,
IB4f_1,30,40,1,1,1024,256,1,
IB4f_2,30,40,3,3,256,256,1,
IB4f_3,30,40,1,1,256,1024,1,
CB5a_1,30,40,1,1,1024,512,2,
CB5a_2,15,20,3,3,512,512,1,
CB5a_3,15,20,1,1,512,2048,1,
CB5s,30,40,1,1,1024,2048,2,
IB5b_1,15,20,1,1,2048,512,1,
IB5b_2,15,20,3,3,512,512,1,
IB5b_3,15,20,1,1,512,2048,1,
IB5c_1,15,20,1,1,2048,512,1,
IB5c_2,15,20,3,3,512,512,1,
IB5c_3,15,20,1,1,512,2048,1,
FPN_P5_lat,15,20,1,1,2048,256,1,
FPN_P4_lat,30,40,1,1,1024,256,1,
FPN_P3_lat,60,80,1,1,512,256,1,
FPN_P2_lat,120,160,1,1,256,256,1,
FPN_P5_out,15,20,3,3,256,256,1,
FPN_P4_out,30,40,3,3,256,256,1,
FPN_P3_out,60,80,3,3,256,256,1,
FPN_P2_out,120,160,3,3,256,256,1,
RPN_P2_conv,120,160,3,3,256,256,1,
RPN_P2_cls,120,160,1,1,256,3,1,
RPN_P2_bbox,120,160,1,1,256,12,1,
RPN_P3_conv,60,80,3,3,256,256,1,
RPN_P3_cls,60,80,1,1,256,3,1,
RPN_P3_bbox,60,80,1,1,256,12,1,
RPN_P4_conv,30,40,3,3,256,256,1,
RPN_P4_cls,30,40,1,1,256,3,1,
RPN_P4_bbox,30,40,1,1,256,12,1,
RPN_P5_conv,15,20,3,3,256,256,1,
RPN_P5_cls,15,20,1,1,256,3,1,
RPN_P5_bbox,15,20,1,1,256,12,1,
