Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Init_conv,400,640,3,3,1,32,1,
EB1_L1,400,640,3,3,32,32,1,
EB1_L2,400,640,3,3,64,32,1,
EB1_L3,400,640,3,3,96,32,1,
EB1_L4,400,640,3,3,128,32,1,
EB1_T,400,640,1,1,160,64,1,
EB2_L1,200,320,3,3,64,32,1,
EB2_L2,200,320,3,3,96,32,1,
EB2_L3,200,320,3,3,128,32,1,
EB2_L4,200,320,3,3,160,32,1,
EB2_L5,200,320,3,3,192,32,1,
EB2_L6,200,320,3,3,224,32,1,
EB2_L7,200,320,3,3,256,32,1,
EB2_L8,200,320,3,3,288,32,1,
EB2_T,200,320,1,1,320,128,1,
EB3_L1,100,160,3,3,128,32,1,
EB3_L2,100,160,3,3,160,32,1,
EB3_L3,100,160,3,3,192,32,1,
EB3_L4,100,160,3,3,224,32,1,
EB3_T,100,160,1,1,256,128,1,
BN_L1,50,80,3,3,128,32,1,
BN_L2,50,80,3,3,160,32,1,
BN_L3,50,80,3,3,192,32,1,
BN_L4,50,80,3,3,224,32,1,
DB3_merge,100,160,1,1,384,128,1,
DB3_L1,100,160,3,3,128,32,1,
DB3_L2,100,160,3,3,160,32,1,
DB3_L3,100,160,3,3,192,32,1,
DB3_L4,100,160,3,3,224,32,1,
DB2_merge,200,320,1,1,448,128,1,
DB2_L1,200,320,3,3,128,32,1,
DB2_L2,200,320,3,3,160,32,1,
DB2_L3,200,320,3,3,192,32,1,
DB2_L4,200,320,3,3,224,32,1,
DB2_L5,200,320,3,3,256,32,1,
DB2_L6,200,320,3,3,288,32,1,
DB2_L7,200,320,3,3,320,32,1,
DB2_L8,200,320,3,3,352,32,1,
DB1_merge,400,640,1,1,448,64,1,
DB1_L1,400,640,3,3,64,32,1,
DB1_L2,400,640,3,3,96,32,1,
DB1_L3,400,640,3,3,128,32,1,
DB1_L4,400,640,3,3,160,32,1,
Output,400,640,1,1,192,4,1,
