Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
S1_proj,1,64,1,1,2048,64,1,
S1_L1,1,64,1,3,64,64,1,
S1_L2,1,64,1,3,64,64,1,
S1_L3,1,64,1,3,64,64,1,
S1_L4,1,64,1,3,64,64,1,
S1_L5,1,64,1,3,64,64,1,
S1_L6,1,64,1,3,64,64,1,
S1_L7,1,64,1,3,64,64,1,
S1_L8,1,64,1,3,64,64,1,
S1_L9,1,64,1,3,64,64,1,
S1_L10,1,64,1,3,64,64,1,
S1_out,1,64,1,1,64,48,1,
S2_proj,1,64,1,1,48,64,1,
S2_L1,1,64,1,3,64,64,1,
S2_L2,1,64,1,3,64,64,1,
S2_L3,1,64,1,3,64,64,1,
S2_L4,1,64,1,3,64,64,1,
S2_L5,1,64,1,3,64,64,1,
S2_L6,1,64,1,3,64,64,1,
S2_L7,1,64,1,3,64,64,1,
S2_L8,1,64,1,3,64,64,1,
S2_L9,1,64,1,3,64,64,1,
S2_L10,1,64,1,3,64,64,1,
S2_out,1,64,1,1,64,48,1,
S3_proj,1,64,1,1,48,64,1,
S3_L1,1,64,1,3,64,64,1,
S3_L2,1,64,1,3,64,64,1,
S3_L3,1,64,1,3,64,64,1,
S3_L4,1,64,1,3,64,64,1,
S3_L5,1,64,1,3,64,64,1,
S3_L6,1,64,1,3,64,64,1,
S3_L7,1,64,1,3,64,64,1,
S3_L8,1,64,1,3,64,64,1,
S3_L9,1,64,1,3,64,64,1,
S3_L10,1,64,1,3,64,64,1,
S3_out,1,64,1,1,64,48,1,
S4_proj,1,64,1,1,48,64,1,
S4_L1,1,64,1,3,64,64,1,
S4_L2,1,64,1,3,64,64,1,
S4_L3,1,64,1,3,64,64,1,
S4_L4,1,64,1,3,64,64,1,
S4_L5,1,64,1,3,64,64,1,
S4_L6,1,64,1,3,64,64,1,
S4_L7,1,64,1,3,64,64,1,
S4_L8,1,64,1,3,64,64,1,
S4_L9,1,64,1,3,64,64,1,
S4_L10,1,64,1,3,64,64,1,
S4_out,1,64,1,1,64,48,1,
